time,AvgResponseTime,nrOfInstances,AvgMemory,AvgCPU,numebrOfRequest,Latency
2020-06-30 12:45:41.998,,,,9.06628855777507,,
2020-06-30 12:45:42.398,6.0,2.0,,,,
2020-06-30 12:45:46.998,,,,9.06628855777507,,
2020-06-30 12:45:47.398,6.0,2.0,,,,
2020-06-30 12:45:51.998,,,,9.06343528577701,,
2020-06-30 12:45:52.398,6.0,2.0,,,,
2020-06-30 12:45:56.998,,,,9.06343528577701,,
2020-06-30 12:45:57.953,6.0,2.0,,,,
2020-06-30 12:46:02.507,6.0,2.0,,,,
2020-06-30 12:46:06.205,,,,,1.0,14.0
2020-06-30 12:46:16.998,,,,8.55883216472522,,
2020-06-30 12:46:17.477,5.0,2.0,,,,
2020-06-30 12:46:21.998,,,,8.765549469067059,,
2020-06-30 12:46:22.451,5.0,2.0,,,,
2020-06-30 12:46:26.998,,,,8.765549469067059,,
2020-06-30 12:46:27.410,5.0,2.0,,,,
2020-06-30 12:46:31.998,,,,8.72631425395245,,
2020-06-30 12:46:32.409,5.0,2.0,,,,
2020-06-30 12:46:36.998,,,,8.73218276903369,,
2020-06-30 12:46:37.401,0.0,2.0,,,,
2020-06-30 12:46:39.334,,,,,1.0,14.0
2020-06-30 12:46:39.938,,,,,1.0,14.0
2020-06-30 12:46:40.536,,,,,1.0,15.0
2020-06-30 12:46:41.283,,,,,1.0,14.0
2020-06-30 12:46:41.298,,,40.03339140534264,,,
2020-06-30 12:46:41.843,,,,,1.0,40.0
2020-06-30 12:46:41.998,,,,8.72935739719458,,
2020-06-30 12:46:42.398,0.0,2.0,,,,
2020-06-30 12:46:42.601,,,,,1.0,12.0
2020-06-30 12:46:43.253,,,,,1.0,21.0
2020-06-30 12:46:43.935,,,,,1.0,7314.0
2020-06-30 12:46:44.572,,,,,1.0,13.0
2020-06-30 12:46:46.998,,,,7.350230899301555,,
2020-06-30 12:46:47.398,0.0,2.0,,,,
2020-06-30 12:46:51.998,,,,6.062205936638341,,
2020-06-30 12:46:52.414,0.0,2.0,,,,
2020-06-30 12:46:56.998,,,,16.40392894094618,,
2020-06-30 12:46:57.401,0.0,2.0,,,,
2020-06-30 12:47:01.998,,,,14.752166411833839,,
2020-06-30 12:47:02.413,0.0,2.0,,,,
2020-06-30 12:47:13.201,231.0,2.0,,,,
2020-06-30 12:47:16.998,,,,14.71362209679268,,
2020-06-30 12:47:17.710,231.0,2.0,,,,
2020-06-30 12:47:21.998,,,,15.50665359246215,,
2020-06-30 12:47:23.089,231.0,2.0,,,,
2020-06-30 12:47:24.191,,,,,1.0,81.0
2020-06-30 12:47:26.827,,,,,1.0,14.0
2020-06-30 12:47:26.998,,,,5.606014383499375,,
2020-06-30 12:47:27.398,231.0,2.0,,,,
2020-06-30 12:47:29.723,,,,,1.0,47.0
2020-06-30 12:47:31.998,,,,5.071427619163393,,
2020-06-30 12:47:32.398,231.0,2.0,,,,
2020-06-30 12:47:36.998,,,,5.071427619163393,,
2020-06-30 12:47:37.398,157.33333333333331,2.0,,,,
2020-06-30 12:47:41.298,,,40.42899065627896,,,
2020-06-30 12:47:41.998,,,,5.48778288546193,,
2020-06-30 12:47:42.398,7.5,2.0,,,,
